Course ID,Subject,Catalog,Rq Group,Description_Short,Descripiton_Long
61892,BIO,376,22154,PQ BIO 370 or CHM 370 and PHY 150/151 or 156 or 160/161,Pre-requisite: BIO 370 or CHM 370; Pre/Co-requisite: PHY 150/151 or 156 or 160/161; Passing CUNY Reading Assessment Test
61892,CHM,376,22154,PQ BIO 370 or CHM 370 and PHY 150/151 or PHY156 or PHY 160/161,Pre-requisite: BIO 370 or CHM 370; Pre/Co-requisite: PHY 150/151 or 156 or 160/161; Passing CUNY Reading Assessment Test
61893,BIO,378,22159,PQ BIO205 & PHY150/151 & Res51,Pre-requisite: BIO 205; PHY 150/151 or PHY 156 or PHY 160/161; Passing the CUNY Reading Assessment Test
61895,BIO,382,22163,PQ  BIO350/351 or BIO332 and CHM 110/111 or CHM 141/121,Pre-requisite:  BIO350/351 or BIO 332; CHM 110/111 or CHM 141/121; Passing CUNY Reading Assessment Test
61904,BIO,424,17184,PQ BIO233 CHM142 CHM127 CQ BIO32,"PQ BIO233,CHM142,CHM127CQBIO32"
61909,BIO,434,33829,PQ BIO 205 & BIO 310 or 313,Prerequisite: BIO 205 and BIO 310 or BIO 313.
61910,BIO,442,12412,PQ BIO 314 CQ BIO 350/351 CBKFLG,PQ BIO 314CQBIO 350C/351C BKFLAG
61914,BIO,452,15040,PQ BIO338/PQ BIO 272 or MTH214,PQ BIO338/PQ BIO 72 or MTH214
61915,BIO,454,33827,"PQ BIO 237, CHM 142/127","Prerequisite:  BIO 237, CHM 142 and CHM 127."
61917,BIO,458,33830,PQ BIO370 or BIO372 & BIO 237,Prerequisite: BIO 370 or BIO 372 and BIO 237
61918,BIO,460,33825,PQ BIO 233,PQ BIO 233
61935,BIO,522,15041,PQ BIO 312,PQ BIO 312
61945,BIO,603,12503,PQ GRADUATE STUDENTS ONLY,PQ GRADUATE STUDENTS ONLY
61946,BIO,604,31908,PQ BIO 603,Prerequisite BIO 603
61947,BIO,605,12503,PQ GRADUATE STUDENTS ONLY,PQ GRADUATE STUDENTS ONLY
61952,BIO,640,12503,PQ GRADUATE STUDENTS ONLY,PQ GRADUATE STUDENTS ONLY
61953,BIO,650,12503,PQ GRADUATE STUDENTS ONLY,PQ GRADUATE STUDENTS ONLY
61954,BIO,660,12503,PQ GRADUATE STUDENTS ONLY,PQ GRADUATE STUDENTS ONLY
61955,BIO,670,31909,PQ BIO 150 & BIO 160,Prerequisite BIO 150 & BIO 160
61956,BIO,682,12513,PQ BIO 382,PQ BIO 382
61961,BIO,704,12503,PQ GRADUATE STUDENTS ONLY,PQ GRADUATE STUDENTS ONLY
61961,MTH,704,12503,PQ GRADUATE STUDENTS ONLY,PQ GRADUATE STUDENTS ONLY
61962,BIO,720,31910,PQ BIO 322 or BIO 338 or BIO 360,"Prerequisite BIO 322 or BIO 338 or BIO 360 or equivalent, or the permission of the instructor."
61963,BIO,721,31910,PQ BIO 322 or BIO 338 or BIO 360,"Prerequisite BIO 322 or BIO 338 or BIO 360 or equivalent, or the permission of the instructor."
61964,BIO,722,31991,PQ BIO 360,Prerequisite BIO 360
61964,ESC,722,31991,PQ BIO 360,Prerequisite BIO 360
61965,BIO,723,23447,PQ BIO 322 or BIO 338 or BIO 360,"Prerequisite: BIO 322 or BIO 338 or BIO 360 or equivalent, or permission of the instructor."
61966,BIO,724,31992,PQ BIO 228 or BIO 312 or BIO 360,Prerequisite BIO 228 or BIO 312 or BIO 360 or equivalent
61967,BIO,727,31993,PQ ESC 601,Prerequisite ESC 601
61967,ESC,727,31993,PQ ESC 601,Prerequisite ESC 601
61968,BIO,730,31994,PQ BIO 322 or equivalent,Prerequisite BIO 322 or equivalent
61969,BIO,735,12514,PQ BIO 322 OR 338 OR 360,PQ BIO 322 OR 338 OR 360
61970,BIO,736,31910,PQ BIO 322 or BIO 338 or BIO 360,"Prerequisite BIO 322 or BIO 338 or BIO 360 or equivalent, or the permission of the instructor."
61971,BIO,740,23448,PQ BIO 352,Prerequisite: BIO 352
61972,BIO,741,31995,PQ BIO 352 or equivalent,Prerequisite BIO 352 or equivalent
61973,BIO,742,23448,PQ BIO 352,Prerequisite: BIO 352
61974,BIO,743,12515,PQ CHM 256 BIO 314 BIO 352,PQ CHM 256;BIO 314;BIO 352
61974,ESC,743,12515,PQ CHM 256 BIO 314 BIO 352,PQ CHM 256;BIO 314;BIO 352
61975,BIO,744,23448,PQ BIO 352,Prerequisite: BIO 352
